                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.65489,                0.29626,                0.98985,                      1,                      1,                  0.995,                 0.8955,                0.60215,                0.23239,                0.83149,             0.00035057,             0.00035057,             0.00035057
                    119,                 0.6379,                 0.2884,                0.98724,                      1,                      1,                  0.995,                 0.8955,                0.56175,                0.20733,                0.81977,             0.00034644,             0.00034644,             0.00034644
                    120,                0.63493,                0.28609,                0.98824,                0.98877,                      1,                  0.995,                 0.8955,                0.57689,                0.20103,                0.83135,             0.00034232,             0.00034232,             0.00034232
                    121,                0.63954,                 0.2879,                0.98847,                      1,                      1,                  0.995,                 0.8955,                0.53735,                0.20512,                0.82485,              0.0003382,              0.0003382,              0.0003382
                    122,                 0.6513,                0.29049,                0.98454,                      1,                      1,                  0.995,                 0.8955,                0.49914,                0.19374,                0.80527,             0.00033407,             0.00033407,             0.00033407
                    123,                0.63435,                0.28854,                0.97757,                0.98868,                      1,                  0.995,                0.91535,                0.51215,                0.19376,                0.81515,             0.00032995,             0.00032995,             0.00032995
                    124,                0.64004,                0.28775,                0.97839,                      1,                      1,                  0.995,                0.91725,                0.50121,                0.19161,                 0.8112,             0.00032583,             0.00032583,             0.00032583
                    125,                0.64481,                 0.2851,                0.98472,                      1,                      1,                  0.995,                0.91317,                0.46648,                0.16511,                0.81224,              0.0003217,              0.0003217,              0.0003217
                    126,                0.63706,                0.28407,                0.97919,                      1,                      1,                  0.995,                 0.8955,                0.51975,                0.19506,                0.80974,             0.00031758,             0.00031758,             0.00031758
                    127,                0.63621,                0.28657,                0.98148,                      1,                      1,                  0.995,                 0.8955,                0.53018,                0.18324,                0.82102,             0.00031346,             0.00031346,             0.00031346
                    128,                0.63171,                0.28511,                0.97795,                      1,                      1,                  0.995,                 0.8955,                0.54085,                 0.1968,                0.82687,             0.00030933,             0.00030933,             0.00030933
                    129,                0.61443,                0.27601,                0.96849,                0.98858,                      1,                  0.995,                 0.8955,                0.52696,                0.19098,                0.82343,             0.00030521,             0.00030521,             0.00030521
                    130,                0.63369,                0.28517,                0.97539,                      1,                      1,                  0.995,                0.86775,                0.54423,                0.19938,                0.82628,             0.00030109,             0.00030109,             0.00030109
                    131,                0.61587,                0.27827,                 0.9672,                      1,                      1,                  0.995,                0.91725,                0.53204,                0.20196,                0.82957,             0.00029696,             0.00029696,             0.00029696
                    132,                0.62044,                0.28242,                0.97531,                      1,                      1,                  0.995,                0.86163,                0.55323,                 0.1893,                0.82244,             0.00029284,             0.00029284,             0.00029284
                    133,                0.61361,                0.27519,                0.96729,                      1,                      1,                  0.995,                0.91112,                0.53714,                0.18678,                0.82329,             0.00028872,             0.00028872,             0.00028872
                    134,                0.63092,                0.28082,                0.98298,                      1,                      1,                  0.995,                 0.8955,                0.62039,                 0.2104,                0.83985,             0.00028459,             0.00028459,             0.00028459
                    135,                0.61603,                0.27507,                0.97416,                      1,                      1,                  0.995,                 0.8955,                0.55195,                0.17903,                0.82143,             0.00028047,             0.00028047,             0.00028047
                    136,                0.62084,                0.27932,                0.97896,                      1,                      1,                  0.995,                 0.8955,                0.55681,                0.18788,                0.81934,             0.00027635,             0.00027635,             0.00027635
                    137,                0.60842,                0.27547,                0.97462,                      1,                      1,                  0.995,                 0.8955,                0.51259,                0.16866,                0.82404,             0.00027222,             0.00027222,             0.00027222
                    138,                0.60414,                0.27343,                0.97011,                      1,                      1,                  0.995,                 0.8955,                0.51154,                0.18115,                0.81941,              0.0002681,              0.0002681,              0.0002681
                    139,                0.61371,                0.27526,                0.97297,                      1,                      1,                  0.995,                 0.8955,                0.52033,                0.17479,                0.82224,             0.00026398,             0.00026398,             0.00026398
                    140,                0.61991,                0.27626,                 0.9702,                0.98895,                      1,                  0.995,                0.87544,                0.53532,                0.18842,                0.83184,             0.00025985,             0.00025985,             0.00025985
                    141,                0.61157,                0.27388,                 0.9735,                0.98879,                      1,                  0.995,                 0.8955,                0.53979,                0.18286,                0.82769,             0.00025573,             0.00025573,             0.00025573
                    142,                   0.61,                0.27304,                0.96878,                      1,                      1,                  0.995,                 0.8955,                0.54145,                0.18506,                0.82538,             0.00025161,             0.00025161,             0.00025161
                    143,                0.61224,                0.27349,                 0.9652,                      1,                      1,                  0.995,                 0.8955,                0.52688,                0.17293,                0.82828,             0.00024748,             0.00024748,             0.00024748
